"count","date_day"
"1","2016-09-04"
"1","2016-09-05"
"1","2016-09-13"
"1","2016-09-15"
"1","2016-10-02"
"8","2016-10-03"
"63","2016-10-04"
"47","2016-10-05"
"51","2016-10-06"
"46","2016-10-07"
"42","2016-10-08"
"26","2016-10-09"
"39","2016-10-10"
"1","2016-10-22"
"1","2016-12-23"
"32","2017-01-05"
"4","2017-01-06"
"4","2017-01-07"
"6","2017-01-08"
"5","2017-01-09"
"6","2017-01-10"
"12","2017-01-11"
"13","2017-01-12"
"12","2017-01-13"
"18","2017-01-14"
"14","2017-01-15"
"19","2017-01-16"
"32","2017-01-17"
"33","2017-01-18"
"27","2017-01-19"
"29","2017-01-20"
"24","2017-01-21"
"31","2017-01-22"
"39","2017-01-23"
"40","2017-01-24"
"63","2017-01-25"
"86","2017-01-26"
"62","2017-01-27"
"29","2017-01-28"
"35","2017-01-29"
"53","2017-01-30"
"70","2017-01-31"
"73","2017-02-01"
"69","2017-02-02"
"60","2017-02-03"
"67","2017-02-04"
"75","2017-02-05"
"85","2017-02-06"
"112","2017-02-07"
"95","2017-02-08"
"77","2017-02-09"
"66","2017-02-10"
"49","2017-02-11"
"64","2017-02-12"
"78","2017-02-13"
"76","2017-02-14"
"62","2017-02-15"
"55","2017-02-16"
"43","2017-02-17"
"46","2017-02-18"
"39","2017-02-19"
"63","2017-02-20"
"41","2017-02-21"
"63","2017-02-22"
"59","2017-02-23"
"64","2017-02-24"
"43","2017-02-25"
"46","2017-02-26"
"43","2017-02-27"
"55","2017-02-28"
"99","2017-03-01"
"72","2017-03-02"
"74","2017-03-03"
"80","2017-03-04"
"74","2017-03-05"
"105","2017-03-06"
"82","2017-03-07"
"79","2017-03-08"
"93","2017-03-09"
"88","2017-03-10"
"71","2017-03-11"
"64","2017-03-12"
"111","2017-03-13"
"99","2017-03-14"
"108","2017-03-15"
"103","2017-03-16"
"65","2017-03-17"
"73","2017-03-18"
"56","2017-03-19"
"119","2017-03-20"
"97","2017-03-21"
"105","2017-03-22"
"114","2017-03-23"
"79","2017-03-24"
"76","2017-03-25"
"64","2017-03-26"
"111","2017-03-27"
"103","2017-03-28"
"74","2017-03-29"
"74","2017-03-30"
"70","2017-03-31"
"68","2017-04-01"
"65","2017-04-02"
"72","2017-04-03"
"96","2017-04-04"
"96","2017-04-05"
"96","2017-04-06"
"85","2017-04-07"
"68","2017-04-08"
"73","2017-04-09"
"87","2017-04-10"
"78","2017-04-11"
"63","2017-04-12"
"60","2017-04-13"
"54","2017-04-14"
"52","2017-04-15"
"49","2017-04-16"
"65","2017-04-17"
"71","2017-04-18"
"97","2017-04-19"
"98","2017-04-20"
"68","2017-04-21"
"84","2017-04-22"
"88","2017-04-23"
"115","2017-04-24"
"111","2017-04-25"
"125","2017-04-26"
"80","2017-04-27"
"98","2017-04-28"
"74","2017-04-29"
"68","2017-04-30"
"117","2017-05-01"
"128","2017-05-02"
"103","2017-05-03"
"109","2017-05-04"
"111","2017-05-05"
"109","2017-05-06"
"111","2017-05-07"
"124","2017-05-08"
"128","2017-05-09"
"116","2017-05-10"
"126","2017-05-11"
"115","2017-05-12"
"73","2017-05-13"
"112","2017-05-14"
"157","2017-05-15"
"153","2017-05-16"
"141","2017-05-17"
"125","2017-05-18"
"144","2017-05-19"
"72","2017-05-20"
"148","2017-05-21"
"148","2017-05-22"
"125","2017-05-23"
"142","2017-05-24"
"107","2017-05-25"
"80","2017-05-26"
"83","2017-05-27"
"98","2017-05-28"
"160","2017-05-29"
"105","2017-05-30"
"129","2017-05-31"
"124","2017-06-01"
"127","2017-06-02"
"89","2017-06-03"
"102","2017-06-04"
"147","2017-06-05"
"134","2017-06-06"
"129","2017-06-07"
"137","2017-06-08"
"108","2017-06-09"
"77","2017-06-10"
"115","2017-06-11"
"126","2017-06-12"
"126","2017-06-13"
"131","2017-06-14"
"108","2017-06-15"
"97","2017-06-16"
"75","2017-06-17"
"90","2017-06-18"
"156","2017-06-19"
"94","2017-06-20"
"35","2017-06-21"
"88","2017-06-22"
"107","2017-06-23"
"76","2017-06-24"
"105","2017-06-25"
"72","2017-06-26"
"141","2017-06-27"
"120","2017-06-28"
"114","2017-06-29"
"95","2017-06-30"
"80","2017-07-01"
"108","2017-07-02"
"118","2017-07-03"
"125","2017-07-04"
"145","2017-07-05"
"154","2017-07-06"
"121","2017-07-07"
"84","2017-07-08"
"94","2017-07-09"
"143","2017-07-10"
"165","2017-07-11"
"153","2017-07-12"
"137","2017-07-13"
"149","2017-07-14"
"98","2017-07-15"
"114","2017-07-16"
"168","2017-07-17"
"192","2017-07-18"
"153","2017-07-19"
"142","2017-07-20"
"115","2017-07-21"
"88","2017-07-22"
"105","2017-07-23"
"162","2017-07-24"
"153","2017-07-25"
"124","2017-07-26"
"124","2017-07-27"
"132","2017-07-28"
"115","2017-07-29"
"117","2017-07-30"
"148","2017-07-31"
"165","2017-08-01"
"157","2017-08-02"
"148","2017-08-03"
"142","2017-08-04"
"115","2017-08-05"
"109","2017-08-06"
"157","2017-08-07"
"146","2017-08-08"
"144","2017-08-09"
"157","2017-08-10"
"141","2017-08-11"
"98","2017-08-12"
"96","2017-08-13"
"159","2017-08-14"
"194","2017-08-15"
"174","2017-08-16"
"158","2017-08-17"
"147","2017-08-18"
"108","2017-08-19"
"104","2017-08-20"
"177","2017-08-21"
"138","2017-08-22"
"112","2017-08-23"
"128","2017-08-24"
"123","2017-08-25"
"93","2017-08-26"
"119","2017-08-27"
"155","2017-08-28"
"137","2017-08-29"
"181","2017-08-30"
"149","2017-08-31"
"158","2017-09-01"
"104","2017-09-02"
"125","2017-09-03"
"150","2017-09-04"
"157","2017-09-05"
"140","2017-09-06"
"99","2017-09-07"
"116","2017-09-08"
"106","2017-09-09"
"136","2017-09-10"
"180","2017-09-11"
"206","2017-09-12"
"207","2017-09-13"
"166","2017-09-14"
"150","2017-09-15"
"129","2017-09-16"
"126","2017-09-17"
"183","2017-09-18"
"154","2017-09-19"
"163","2017-09-20"
"150","2017-09-21"
"138","2017-09-22"
"88","2017-09-23"
"118","2017-09-24"
"136","2017-09-25"
"180","2017-09-26"
"147","2017-09-27"
"143","2017-09-28"
"120","2017-09-29"
"109","2017-09-30"
"128","2017-10-01"
"143","2017-10-02"
"198","2017-10-03"
"157","2017-10-04"
"140","2017-10-05"
"130","2017-10-06"
"105","2017-10-07"
"126","2017-10-08"
"193","2017-10-09"
"185","2017-10-10"
"158","2017-10-11"
"143","2017-10-12"
"154","2017-10-13"
"116","2017-10-14"
"121","2017-10-15"
"195","2017-10-16"
"202","2017-10-17"
"179","2017-10-18"
"176","2017-10-19"
"124","2017-10-20"
"113","2017-10-21"
"158","2017-10-22"
"161","2017-10-23"
"164","2017-10-24"
"156","2017-10-25"
"144","2017-10-26"
"133","2017-10-27"
"88","2017-10-28"
"132","2017-10-29"
"149","2017-10-30"
"160","2017-10-31"
"111","2017-11-01"
"124","2017-11-02"
"143","2017-11-03"
"111","2017-11-04"
"144","2017-11-05"
"193","2017-11-06"
"160","2017-11-07"
"175","2017-11-08"
"191","2017-11-09"
"165","2017-11-10"
"159","2017-11-11"
"174","2017-11-12"
"205","2017-11-13"
"192","2017-11-14"
"186","2017-11-15"
"226","2017-11-16"
"197","2017-11-17"
"149","2017-11-18"
"158","2017-11-19"
"230","2017-11-20"
"228","2017-11-21"
"201","2017-11-22"
"283","2017-11-23"
"1176","2017-11-24"
"499","2017-11-25"
"391","2017-11-26"
"403","2017-11-27"
"379","2017-11-28"
"323","2017-11-29"
"267","2017-11-30"
"275","2017-12-01"
"216","2017-12-02"
"234","2017-12-03"
"337","2017-12-04"
"282","2017-12-05"
"280","2017-12-06"
"229","2017-12-07"
"219","2017-12-08"
"155","2017-12-09"
"190","2017-12-10"
"267","2017-12-11"
"260","2017-12-12"
"218","2017-12-13"
"200","2017-12-14"
"192","2017-12-15"
"131","2017-12-16"
"133","2017-12-17"
"209","2017-12-18"
"176","2017-12-19"
"171","2017-12-20"
"143","2017-12-21"
"111","2017-12-22"
"109","2017-12-23"
"59","2017-12-24"
"90","2017-12-25"
"168","2017-12-26"
"167","2017-12-27"
"146","2017-12-28"
"135","2017-12-29"
"97","2017-12-30"
"74","2017-12-31"
"74","2018-01-01"
"204","2018-01-02"
"225","2018-01-03"
"258","2018-01-04"
"210","2018-01-05"
"216","2018-01-06"
"196","2018-01-07"
"293","2018-01-08"
"252","2018-01-09"
"277","2018-01-10"
"266","2018-01-11"
"243","2018-01-12"
"219","2018-01-13"
"235","2018-01-14"
"307","2018-01-15"
"302","2018-01-16"
"282","2018-01-17"
"241","2018-01-18"
"235","2018-01-19"
"184","2018-01-20"
"199","2018-01-21"
"314","2018-01-22"
"262","2018-01-23"
"244","2018-01-24"
"233","2018-01-25"
"229","2018-01-26"
"153","2018-01-27"
"156","2018-01-28"
"246","2018-01-29"
"258","2018-01-30"
"256","2018-01-31"
"232","2018-02-01"
"212","2018-02-02"
"193","2018-02-03"
"201","2018-02-04"
"271","2018-02-05"
"268","2018-02-06"
"248","2018-02-07"
"230","2018-02-08"
"216","2018-02-09"
"179","2018-02-10"
"172","2018-02-11"
"218","2018-02-12"
"224","2018-02-13"
"295","2018-02-14"
"283","2018-02-15"
"214","2018-02-16"
"204","2018-02-17"
"202","2018-02-18"
"259","2018-02-19"
"289","2018-02-20"
"266","2018-02-21"
"279","2018-02-22"
"235","2018-02-23"
"191","2018-02-24"
"237","2018-02-25"
"299","2018-02-26"
"298","2018-02-27"
"313","2018-02-28"
"277","2018-03-01"
"266","2018-03-02"
"214","2018-03-03"
"236","2018-03-04"
"264","2018-03-05"
"271","2018-03-06"
"259","2018-03-07"
"234","2018-03-08"
"204","2018-03-09"
"193","2018-03-10"
"218","2018-03-11"
"232","2018-03-12"
"227","2018-03-13"
"199","2018-03-14"
"290","2018-03-15"
"252","2018-03-16"
"180","2018-03-17"
"215","2018-03-18"
"303","2018-03-19"
"297","2018-03-20"
"286","2018-03-21"
"254","2018-03-22"
"221","2018-03-23"
"165","2018-03-24"
"190","2018-03-25"
"272","2018-03-26"
"245","2018-03-27"
"220","2018-03-28"
"194","2018-03-29"
"165","2018-03-30"
"168","2018-03-31"
"207","2018-04-01"
"282","2018-04-02"
"247","2018-04-03"
"257","2018-04-04"
"266","2018-04-05"
"189","2018-04-06"
"164","2018-04-07"
"185","2018-04-08"
"253","2018-04-09"
"201","2018-04-10"
"274","2018-04-11"
"255","2018-04-12"
"202","2018-04-13"
"146","2018-04-14"
"223","2018-04-15"
"280","2018-04-16"
"266","2018-04-17"
"280","2018-04-18"
"293","2018-04-19"
"197","2018-04-20"
"156","2018-04-21"
"200","2018-04-22"
"285","2018-04-23"
"271","2018-04-24"
"284","2018-04-25"
"254","2018-04-26"
"242","2018-04-27"
"169","2018-04-28"
"171","2018-04-29"
"240","2018-04-30"
"256","2018-05-01"
"296","2018-05-02"
"305","2018-05-03"
"265","2018-05-04"
"197","2018-05-05"
"211","2018-05-06"
"372","2018-05-07"
"331","2018-05-08"
"344","2018-05-09"
"279","2018-05-10"
"247","2018-05-11"
"207","2018-05-12"
"207","2018-05-13"
"364","2018-05-14"
"352","2018-05-15"
"357","2018-05-16"
"228","2018-05-17"
"236","2018-05-18"
"139","2018-05-19"
"161","2018-05-20"
"206","2018-05-21"
"199","2018-05-22"
"132","2018-05-23"
"114","2018-05-24"
"104","2018-05-25"
"99","2018-05-26"
"100","2018-05-27"
"143","2018-05-28"
"149","2018-05-29"
"140","2018-05-30"
"133","2018-05-31"
"184","2018-06-01"
"142","2018-06-02"
"192","2018-06-03"
"225","2018-06-04"
"200","2018-06-05"
"227","2018-06-06"
"223","2018-06-07"
"197","2018-06-08"
"172","2018-06-09"
"193","2018-06-10"
"294","2018-06-11"
"246","2018-06-12"
"259","2018-06-13"
"212","2018-06-14"
"186","2018-06-15"
"165","2018-06-16"
"152","2018-06-17"
"246","2018-06-18"
"231","2018-06-19"
"216","2018-06-20"
"234","2018-06-21"
"179","2018-06-22"
"151","2018-06-23"
"199","2018-06-24"
"241","2018-06-25"
"243","2018-06-26"
"214","2018-06-27"
"243","2018-06-28"
"174","2018-06-29"
"124","2018-06-30"
"158","2018-07-01"
"195","2018-07-02"
"216","2018-07-03"
"256","2018-07-04"
"195","2018-07-05"
"121","2018-07-06"
"91","2018-07-07"
"122","2018-07-08"
"148","2018-07-09"
"134","2018-07-10"
"127","2018-07-11"
"124","2018-07-12"
"168","2018-07-13"
"148","2018-07-14"
"152","2018-07-15"
"245","2018-07-16"
"221","2018-07-17"
"307","2018-07-18"
"253","2018-07-19"
"250","2018-07-20"
"187","2018-07-21"
"215","2018-07-22"
"307","2018-07-23"
"271","2018-07-24"
"268","2018-07-25"
"247","2018-07-26"
"189","2018-07-27"
"176","2018-07-28"
"188","2018-07-29"
"288","2018-07-30"
"322","2018-07-31"
"311","2018-08-01"
"302","2018-08-02"
"314","2018-08-03"
"245","2018-08-04"
"276","2018-08-05"
"372","2018-08-06"
"370","2018-08-07"
"316","2018-08-08"
"289","2018-08-09"
"256","2018-08-10"
"188","2018-08-11"
"197","2018-08-12"
"292","2018-08-13"
"316","2018-08-14"
"288","2018-08-15"
"320","2018-08-16"
"257","2018-08-17"
"198","2018-08-18"
"204","2018-08-19"
"256","2018-08-20"
"243","2018-08-21"
"187","2018-08-22"
"144","2018-08-23"
"99","2018-08-24"
"69","2018-08-25"
"73","2018-08-26"
"67","2018-08-27"
"44","2018-08-28"
"14","2018-08-29"
"4","2018-08-30"
"1","2018-08-31"
"4","2018-09-03"
"3","2018-09-06"
"1","2018-09-10"
"1","2018-09-11"
"1","2018-09-12"
"1","2018-09-13"
"1","2018-09-17"
"1","2018-09-20"
"1","2018-09-25"
"1","2018-09-26"
"1","2018-09-29"
"1","2018-10-01"
"1","2018-10-03"
"1","2018-10-16"
"1","2018-10-17"
